Mot;Autre forme;Definition;Nature du mot;Francais;Anglais;;
Ca? (5/4);;;L?n;Nourriture;;;
Bàg (pron);;;;Nous;;;
B?? (pron);;;;Nous;;;
Bà?gàbo (pron);;;;Nous (eux et moi);;;
Bà?gàbinàbo (pron);;;;Nous (eux vous et moi);;;
Nja?mtu (1/6);;;L?n;Nuque ;;;
Bà?gyi (pron);;;;Nous (lui et moi);;;
Bàgw?? (pron);;;;Nous (toi et moi);;;
Bà?gàbin (pron);;;;Nous (vous et moi);;;
Fo?? (5);;;L?n;Nouvelle;;;
Nk??n (3/6);;;L?n;Nouvelle;;;
C?? (1/6);;;L?n;Nouvelle;;;
Nk??nm??bw? (1/6);;;L?n;Nouvelle (bonne);;;
Nto?gtu?n (adj);;;;Nu;;;
Tu?nntog (adj);;;;Nu;;;
Ndod;;;L?n;Nuage;;;
N??be?nto?gtu?n;;;L?n;Nudite?;;;
Tsw?? (1/6);;;L?n;Nuit;;;
T??dtsw?? (1/6);;;L?n;Nuit;;;
Ca??t??dtsw?? (1/6);;;L?n;Nuit (mi);;;
Nja?mtu (1/6);;;L?n;Nuque ;;;
;;;;;;;
Be?nc??n (interij);;;;O hommesi;;;
Nts?ko?nkwa (4);;;L?n;Oasi ;;;
N?? ju? ncu? (V);;;Mba?ncob?;Obe?ir ;;;
N??ju? ncu? (1);;;L?n;Obe?isance;;;
Ju??ncu?(1);;;L?n;Obe?issance;;;
Nga?ju?ncu? (1/6);;;L?n;Obe?issant;;;
Ju (3/6);;;L?n;Objet;;;
Jung?a (3/4);;;L?n;Objet de luxe;;;
Judia?? (3//6);;;L?n;Objet de luxe;;;
Nukeko?nko? (adj);;;;Obligation;;;
K??k?nko? (adj);;;;Obligation;;;
N? nàn? (V);;;Mba?ncob?;Obliger;;;
Ngwa??nk??? (adv);;;;Obliquer;;;
Ngwa??nk??? (adv);;;;Obliquement;;;
K?l??? ;;;L?n;Obstacle;;;
N?? s?nt? (V);;;Mba?ncob?;Obscurcir;;;
N?? tam njam? (V);;;Mba?ncob?;Obscurcir;;;
Njam? (1);;;L?n;Obscurit‚;;;
Ku?mnja?mnjam? (1);;;L?n;Obscurit‚;;;
N?? l?t? (V);;;Mba?ncob?;Observer;;;
N?? t? làg (V);;;Mba?ncob?;Observer;;;
N?? z?d? (V);;;Mba?ncob?;Observer longtemps;;;
Nga?ghub (1/6);;;L?n;Obstine?;;;
Nga?kutu (1/6);;;L?n;obstin‚;;;
Mbi?nya?m (1/6);;;L?n;Obstiner ?(s?);;;
Dibànts? (1/6);;;L?n;Oc‚an;;;
Nda?mju (3/6);;;L?n;Odeur;;;
Nse?m (1/6);;;L?n;Odeur;;;
Yw?dju (3/6);;;L?n;Odeur;;;
N?la?mt?? (adj);;;;Odorant;;;
Làg (5/4);;;L?n;?il;;;
ngwa?làg (1/6);;;L?n;?il (clin);;;
Sa?làg (5/4);;;L?n;?il (tale dans);;;
Là?g bà?nbàn (5/4);;;L?n;Oeil nu;;;
Bum (5/4);;;L?n;Oeuf;;;
Fa?? (5/4);;;L?n;Oeuvre;;;
Nca? (1/6);;;L?n;Offense;;;
Mfà?nnu? (4);;;L?n;Offense;;;
N?? dià?g nca? (V);;;Mba?ncob?;Offenser;;;
N?? fà?nnu? (V);;;Mba?ncob?;Offenser ;;;
Nga?bebndà?nca? (1/6);;;L?n;Offenser de justice;;;
Ka?la (5/4);;;L?n;Officine;;;
Ndà?ka? (1/6);;;L?n;Officine;;;
Fàbw??nt? (3/6);;;L?n;Offrande;;;
